#lon	#trans
190	1.80E-04
191	1.60E-04
192	1.70E-04
193	1.90E-04
194	1.50E-04
195	2.60E-04
196	1.60E-04
197	1.30E-04
198	1.60E-04
199	1.40E-04
200	1.20E-04
201	1.20E-04
202	1.20E-04
203	1.90E-04
204	1.40E-04
205	1.20E-04
206	9.00E-05
207	1.00E-04
208	7.00E-05
209	1.00E-04
210	1.00E-04
211	1.90E-04
212	1.00E-04
213	1.00E-04
214	8.00E-05
215	8.00E-05
216	7.00E-05
217	1.20E-04
218	7.00E-05
219	1.70E-04
220	1.00E-04
221	8.00E-05
222	1.00E-04
223	6.00E-05
224	4.00E-05
225	7.00E-05
226	9.00E-05
227	1.60E-04
228	7.00E-05
229	6.00E-05
230	6.00E-05
231	7.00E-05
232	8.00E-05
233	7.00E-05
234	7.00E-05
235	9.00E-05
236	6.00E-05
237	5.00E-05
238	6.00E-05
239	6.00E-05
240	7.00E-05
241	3.00E-05
242	1.40E-04
243	1.10E-04
244	7.00E-05
245	1.00E-04
246	9.00E-05
247	1.00E-04
248	9.00E-05
249	1.10E-04
250	5.00E-05
251	1.90E-04
252	8.00E-05
253	1.20E-04
254	8.00E-05
255	1.10E-04
256	1.30E-04
257	8.00E-05
258	1.00E-04
259	1.60E-04
260	1.60E-04
261	1.40E-04
262	1.70E-04
263	1.10E-04
264	1.50E-04
265	1.70E-04
266	1.60E-04
267	3.00E-04
268	1.70E-04
269	1.30E-04
270	1.50E-04
271	2.30E-04
272	1.40E-04
273	1.40E-04
274	2.50E-04
275	3.50E-04
276	1.10E-04
277	2.70E-04
278	1.80E-04
279	2.40E-04
280	1.70E-04
281	2.40E-04
282	1.30E-04
283	3.60E-04
284	2.00E-04
285	3.10E-04
286	3.50E-04
287	4.40E-04
288	5.50E-04
289	7.50E-04
290	0.00123
291	0.00169
292	0.0022
293	0.00315
294	0.00438
295	0.00611
296	0.00832
297	0.01113
298	0.01464
299	0.01922
300	0.0246
301	0.03115
302	0.03904
303	0.04829
304	0.05881
305	0.0709
306	0.08463
307	0.09973
308	0.11615
309	0.13398
310	0.15312
311	0.17378
312	0.19529
313	0.21783
314	0.24124
315	0.26509
316	0.2891
317	0.31371
318	0.3382
319	0.36278
320	0.38745
321	0.41172
322	0.43606
323	0.45991
324	0.48331
325	0.50561
326	0.52732
327	0.55071
328	0.57084
329	0.59056
330	0.60927
331	0.62712
332	0.64437
333	0.66066
334	0.6761
335	0.69097
336	0.70518
337	0.71823
338	0.73093
339	0.74269
340	0.75411
341	0.7646
342	0.77477
343	0.78405
344	0.79278
345	0.80094
346	0.80861
347	0.81574
348	0.82239
349	0.82877
350	0.83479
351	0.84018
352	0.84559
353	0.85044
354	0.85497
355	0.85921
356	0.86307
357	0.86665
358	0.87007
359	0.87323
360	0.87622
361	0.879
362	0.88155
363	0.88394
364	0.88595
365	0.88783
366	0.88969
367	0.89126
368	0.89262
369	0.89374
370	0.8948
371	0.89556
372	0.89591
373	0.89622
374	0.89609
375	0.89578
376	0.89549
377	0.8951
378	0.89471
379	0.89514
380	0.89529
381	0.89607
382	0.89721
383	0.89788
384	0.89947
385	0.90063
386	0.90217
387	0.9035
388	0.90463
389	0.90546
390	0.90628
391	0.90771
392	0.90832
393	0.90924
394	0.90989
395	0.91027
396	0.91082
397	0.91107
398	0.91162
399	0.9116
400	0.91163
401	0.91181
402	0.91184
403	0.9118
404	0.91198
405	0.91187
406	0.91153
407	0.91136
408	0.91127
409	0.91102
410	0.91094
411	0.91075
412	0.91056
413	0.91035
414	0.90997
415	0.91004
416	0.90976
417	0.90951
418	0.90935
419	0.90924
420	0.90915
421	0.90894
422	0.90885
423	0.9088
424	0.90851
425	0.90851
426	0.90847
427	0.90831
428	0.90813
429	0.90814
430	0.9079
431	0.90755
432	0.90739
433	0.90739
434	0.90727
435	0.90719
436	0.90712
437	0.90705
438	0.90707
439	0.90692
440	0.90671
441	0.90678
442	0.90688
443	0.90703
444	0.90702
445	0.90701
446	0.90717
447	0.9074
448	0.90739
449	0.9076
450	0.90761
451	0.90783
452	0.908
453	0.9081
454	0.90834
455	0.90848
456	0.90852
457	0.9088
458	0.90898
459	0.90909
460	0.90924
461	0.9094
462	0.90961
463	0.90971
464	0.90982
465	0.90961
466	0.91001
467	0.91042
468	0.91038
469	0.91053
470	0.91065
471	0.91092
472	0.91104
473	0.91109
474	0.91133
475	0.91156
476	0.91177
477	0.91176
478	0.912
479	0.91212
480	0.91228
481	0.91244
482	0.91279
483	0.91272
484	0.91277
485	0.91303
