Nombre,Nombre-Arc,Espesor,Error,Error Porcentual
ANZO49,ANZO49M,870.8999649,81.50407744,9.358603827
ANZO49-1,ANZO491M,589.7427925,52.88417968,8.967329547
ANZO49-2,ANZO492M,758.3671698,67.50798583,8.901754785
ANZO49-3,ANZO493M,801.5582413,100.9743095,12.59725173
ANZO49-4,ANZO494M,835.4287695,70.9210471,8.489179411
ANZO50,ANZO50M,965.219549,77.41799801,8.020765648
ANZO50-1A,NZO501AM,912.5283625,85.81362278,9.403940339
ANZO50-2A,NZO502AM,829.9864212,55.262163,6.658200856
ANZO50-3A,NZO503AM,969.7585989,91.65047402,9.450854483
ANZO50-4A,NZO504AM,900.6885295,72.11728656,8.006906295
ANZO51,ANZO51M,565.4168259,82.90990533,14.6635016
ANZO51-1,ANZO511M,526.8077821,112.9211553,21.43498238
ANZO51-2,ANZO512AM*,456.054135,6.770921044,1.48467485
ANZO51-3,ANZO513AM*,387.643565,1.692738635,0.436673993
ANZO51-4,ANZO514AM*,403.1341393,40.3,9.996672588
ANZO53,ANZO53M*,1708.693558,97.21579775,5.689481141
ANZO53-1,ANZO531M*,1552.364035,76.95155757,4.957056194
ANZO53-2,ANZO532M*,1526.876166,80.00126007,5.239538205
ANZO53-3,ANZO533M*,1537.438268,106.3291805,6.915996742
ANZO53-4,ANZO534M*,1578.12087,88.34694305,5.598236785
ANZO58,ANZO58M,975.4700943,83.57718514,8.567887999
ANZO58-1,ANZO581M,928.4634817,66.80502806,7.195224085
ANZO58-2,ANZO582M,967.0448577,93.49091329,9.667691477
ANZO58-3,ANZO583M,932.4920187,62.50695524,6.703216112
ANZO58-4,ANZO584M,922.9705988,67.08258256,7.268116953
ANZO59,ANZO59M,974.8633076,82.23948418,8.436001595
ANZO59-1,ANZO591M,1063.474786,360.0685402,33.85774115
ANZO59-2,ANZO592M,928.4046388,123.5298233,13.30560169
ANZO59-3,ANZO593M,1040.959023,95.26520556,9.151676815
ANZO59-4,ANZO594M,1010.208526,77.77934829,7.699335958
ANZO62,ANZO62M,1079.142302,70.56519965,6.539007832
ANZO62-1,ANZO621M,1040.66468,84.88089433,8.156411567
ANZO62-2,ANZO622M,1015.046547,74.00958923,7.291250776
ANZO62-3,ANZO623M,1055.355444,75.63624222,7.166897433
ANZO62-4,ANZO624M,1061.77175,70.36093072,6.626747295
ANZO65,ANZO65M,365.8771867,87.5463846,23.92780632
ANZO65-1,ANZO651M,262.5455807,0.66670903,0.253940298
ANZO65-2,ANZO652M,277.756101,7.179876031,2.584957092
ANZO65-3,ANZO653M,293.7827121,14.70439483,5.005194051
ANZO65-4,ANZO654M,296.3216942,18.48590648,6.238458689
ANZO66,ANZO66M,621.1253349,52.52330141,8.456151836
ANZO66-1,ANZO661M,610.649577,65.44060854,10.71655676
ANZO66-2,ANZO662M,600.5644683,82.93801967,13.81001109
ANZO66-3,ANZO663M,625.0689641,54.96792244,8.793897249
ANZO66-4,ANZO664M,613.5239804,64.99209276,10.59324408
AZO01Exp,AZO01Exp,1174.000951,111.1385734,9.466651054
AZO02Exp,AZO02Exp,1039.122086,88.60644142,8.527048229
AZO03Exp,AZO03Exp,869.939631,78.66628228,9.042728884
AZO04Exp,AZO04Exp,661.8147114,48.14574414,7.274807179
AZO05Exp,AZO05Exp,486.1418134,60.28300754,12.40029265
ANZO67,ANZO67M,607.62,129.99,21.39330503
ANZO67-1,ANZO671M,531.47,90.17,16.96615049
ANZO67-2,ANZO672M,517.47,75.5,14.59021779
ANZO67-3,ANZO673M,612.85,133.6,21.79978788
ANZO67-4,ANZO674M,597.35,119.26,19.96484473
ANZO68,ANZO68M,1012.11,85.41,8.438806059
ANZO68-1,ANZO681M,968.88,66.88,6.902815622
ANZO68-2,ANZO682M,895.61,42.09,4.699590223
ANZO68-3,ANZO683M,947.79,87.69,9.252049505
ANZO68-4,ANZO684M,882.14,70.99,8.047475457
ANZO69,ANZO69M,1351.93,79.13,5.853113697
ANZO69-1,ANZO691M,1271.06,100.14,7.878463645
ANZO69-2,ANZO692M,1384.18,98.48,7.114681617
ANZO69-3,ANZO693M,1180.39,100.67,8.528537178
ANZO69-4,ANZO694M,1234.41,69.17,5.603486686
