,Nombre,Nombre-Arc,Espesor,Error,Error Porcentual
0,ANZO32,ANZO32M,91.223787373639,12.3,10.0
1,ANZO01-1,ANZO011M,141.56508400573682,18.1,10.92508686
2,ANZO30,ANZO30M,167.25650435591086,21.6,10.25641026
3,ANZO35,ANZO35M,167.777276390036,21.1,9.990530303
4,AZO3Min2,AZO3Mi2M,224.02933560945428,8.740362052,3.16668311
5,AZO3Min,AZO3MinM,224.89728899966286,14.05248286,5.072915369
6,AZO3Min3,AZO3Mi3M,228.8811950607203,7.236275737,2.569700191
7,ANZO01-2,ANZO012M,246.58744422097536,30.2,10.78932669
8,ANZO31,ANZO31M,301.35530314313695,74.23,20.33141605
9,AZO5X,AZO5XM,337.6357548538557,95.6080964,23.49670592
10,AZO5Z,AZO5ZM,354.9080273190065,99.21839036,23.24704554
11,ANZO43-2,ANZO432M,377.7352014814923,83.3,18.38446259
12,AZO05Min,AZO5MINM,381.0334243642849,64.87056321,14.19797838
13,AZO5Y,AZO5YM,385.8939633494529,66.63280748,14.40709351
14,ANZO20,ANZO20M,387.1958934347658,73.68621503,15.88064979
15,ANZO43-3,ANZO433M,397.1773574221645,110.4,23.21766562
16,ANZO43-1,ANZO431M,397.2641527611854,88.2,18.54499579
17,ANZO43-4,ANZO434M,397.3509481002062,187.1,39.33151146
18,ANZO48-1,ANZO481M,400.12839894887367,64.0,13.36395907
19,ANZO33,ANZO33M,400.90955700006145,92.1,19.19549812
20,ANZO43,ANZO43M,404.5549612389375,81.1,16.75619835
21,ANZO48-4,ANZO484M,426.6009773502355,34.0,6.674519042
22,ANZO48-3,ANZO483M,436.49564599861327,38.7,7.430875576
23,ANZO48-2,ANZO482M,437.5371900668636,41.4,7.931034483
24,ANZO48,ANZO48M,440.5750269325937,37.1,7.059942912
25,ANZO45-1,ANZO451M,450.20930956390896,42.3,7.882966828
26,ANZO44-2,ANZO442M,457.15293668557763,53.1,9.750275432
27,ANZO44-4,ANZO444M,457.3265273636193,44.3,8.131424376
28,ANZO45,ANZO45M,463.4889964341003,40.7,7.37452437
29,ANZO44-3,ANZO443M,464.35694982430886,42.3,7.650569723
30,AZO09,AZO9N1,466.1796519437469,43.82365433,7.896153934
31,ANZO18,ANZO18M,473.99123245562413,41.69060844,7.39195185
32,ANZO16,ANZO16M,493.08620704021297,82.56475799,14.08954914
33,ANZO44-1,ANZO441M,498.6411087375479,36.4,6.144496962
34,ANZO45-4,ANZO454M,501.4185595862154,88.5,14.85896575
35,ANZO45-2,ANZO452M,510.61886552242635,87.4,14.41768393
36,ANZO45-3,ANZO453M,515.739790524657,108.1,17.66051299
37,ANZO44,ANZO44M,520.4267388317833,81.2,13.14979757
38,ANZO26,ANZO26M,555.5788511352309,84.09164918,12.77988589
39,ANZO27,ANZO27M,560.7865714764824,67.51817962,10.16840055
40,ANZO22,ANZO22M,626.7510291323348,60.32055861,8.151426839
41,AZO10X,AZO10XM,640.638283375672,95.71998026,12.66137305
42,AZO10Z,AZO10ZM,668.4127918623467,63.01518449,7.996850824
